RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31
394647,481,"Greeneville, TN",msa,TN,129830.0,126241.0,118993.0,126755.0,140134.0,143298.0,135835.0,131388.0,133918.0,134655.0,133446.0,133832.0,135470.0,133940.0,132822.0,141273.0,136609.0,139851.0,131997.0,137482.0,132557.0,128832.0,133352.0,140533.0,149192.0,156050.0,157821.0,156180.0,152483.0,158358.0,157204.0,161514.0,168345.0,172445.0,167271.0,154558.0,160212.0,163332.0,173729.0,173029.0,191164.0,185112.0,191455.0,182475.0,179154.0,181851.0,184081.0,191379.0,192058.0,188089.0,185883.0,180158.0,194854.0
394877,482,"Morehead City, NC",msa,NC,250577.0,251960.0,256202.0,265377.0,260556.0,250755.0,247720.0,256356.0,266328.0,265541.0,268852.0,269449.0,272340.0,269711.0,268808.0,262726.0,265090.0,257543.0,261675.0,257669.0,271118.0,265464.0,271074.0,277893.0,294397.0,301233.0,297200.0,315116.0,344018.0,364559.0,355302.0,333157.0,322225.0,331340.0,343356.0,344411.0,337007.0,334231.0,350197.0,343700.0,347636.0,339552.0,366902.0,367044.0,387372.0,376279.0,383093.0,377280.0,383302.0,392760.0,386102.0,394121.0,398897.0
394885,483,"Mount Pleasant, MI",msa,MI,128696.0,126188.0,122290.0,121852.0,121051.0,131491.0,142669.0,146703.0,138880.0,139414.0,143581.0,144738.0,133144.0,128748.0,134989.0,137944.0,137502.0,130661.0,137607.0,142988.0,137975.0,129487.0,131417.0,143111.0,143947.0,148394.0,148044.0,150626.0,147413.0,151008.0,160340.0,156438.0,149780.0,141765.0,145944.0,153626.0,154487.0,151414.0,152112.0,158467.0,174529.0,172879.0,166914.0,166457.0,166579.0,168428.0,157027.0,164154.0,170072.0,177844.0,177960.0,177779.0,168946.0
394897,489,"Muskogee, OK",msa,OK,106200.0,111970.0,110323.0,105628.0,92396.0,92426.0,93441.0,100299.0,109688.0,115863.0,120403.0,121146.0,119005.0,116251.0,118207.0,126459.0,135786.0,128157.0,125763.0,114783.0,123533.0,117907.0,124079.0,124027.0,129898.0,137297.0,139117.0,131361.0,131542.0,134978.0,149232.0,151174.0,150124.0,141280.0,137436.0,135229.0,153873.0,148989.0,150268.0,135973.0,137771.0,143068.0,154771.0,152946.0,152376.0,152282.0,158368.0,157464.0,153577.0,158252.0,158054.0,163065.0,163860.0
394586,490,"Faribault, MN",msa,MN,214945.0,218579.0,217353.0,216731.0,221237.0,221331.0,226929.0,220314.0,228682.0,224935.0,237864.0,236517.0,243209.0,240720.0,237372.0,236538.0,233844.0,239228.0,235747.0,243751.0,236175.0,246620.0,248728.0,261749.0,251192.0,246435.0,245875.0,250486.0,253963.0,257396.0,271720.0,263685.0,268133.0,254941.0,274711.0,272491.0,283239.0,282095.0,290559.0,286024.0,285412.0,264544.0,271022.0,271848.0,290838.0,291605.0,293490.0,297207.0,287975.0,288370.0,289999.0,298561.0,278700.0
394600,491,"Forest City, NC",msa,NC,134123.0,133462.0,132504.0,129579.0,132492.0,137092.0,144753.0,146030.0,144619.0,143111.0,144398.0,149919.0,153974.0,153934.0,143369.0,144982.0,149362.0,155572.0,165586.0,167514.0,169767.0,151519.0,154806.0,156719.0,170834.0,178676.0,186956.0,205789.0,194488.0,201341.0,186633.0,193277.0,189269.0,191953.0,185641.0,192049.0,200747.0,208821.0,206090.0,199006.0,208087.0,211462.0,212334.0,213979.0,214667.0,223502.0,232562.0,229719.0,226501.0,219437.0,230179.0,228778.0,205796.0
394587,492,"Farmington, MO",msa,MO,116611.0,115418.0,117003.0,120672.0,120711.0,122670.0,123788.0,126021.0,122373.0,122563.0,119509.0,121022.0,124625.0,127231.0,139255.0,134577.0,139336.0,141711.0,143240.0,139956.0,133799.0,135811.0,137842.0,139816.0,142525.0,145780.0,147434.0,156662.0,160644.0,162425.0,159492.0,156490.0,159522.0,152776.0,146929.0,143399.0,146088.0,149729.0,149242.0,154848.0,157345.0,160226.0,166013.0,169242.0,172358.0,166769.0,164731.0,156356.0,156566.0,161140.0,165410.0,167510.0,162679.0
395021,494,"Richmond, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120665.0,117289.0,114267.0,101829.0,109110.0,104241.0,111392.0,112144.0,121037.0,122101.0,116588.0,113510.0,118602.0,112428.0,115688.0,117951.0,122821.0,118447.0,121558.0,131996.0,132377.0,117290.0,111991.0
395105,495,"Somerset, KY",msa,KY,133814.0,138231.0,138550.0,139361.0,136796.0,147638.0,138388.0,141203.0,131667.0,145989.0,143906.0,141771.0,137565.0,142460.0,142950.0,147455.0,144518.0,153857.0,150383.0,159102.0,159121.0,160065.0,153980.0,152844.0,158365.0,160007.0,162223.0,161079.0,162599.0,159589.0,160397.0,164624.0,176536.0,190057.0,192703.0,191594.0,182292.0,181690.0,183757.0,189872.0,192998.0,198474.0,190235.0,194404.0,201320.0,206555.0,210222.0,198972.0,199049.0,194676.0,190463.0,197274.0,195788.0
394826,497,"Marion, IN",msa,IN,93195.0,92694.0,92299.0,90008.0,88690.0,95497.0,96082.0,94861.0,87068.0,87663.0,88030.0,87777.0,88220.0,88547.0,91479.0,94205.0,101026.0,104029.0,102559.0,97942.0,94891.0,95731.0,99050.0,102233.0,98485.0,103603.0,103401.0,108924.0,107987.0,102131.0,100817.0,98982.0,103478.0,99312.0,95462.0,102591.0,116454.0,120747.0,119580.0,114492.0,118324.0,121801.0,123748.0,121556.0,122056.0,119828.0,126651.0,130890.0,127164.0,122454.0,118367.0,121050.0,125570.0
